gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
Galnt6,1.614,1.5859999999999999,0.622,0.8029999999999999,0.797,0.0,1.48,0.0,0.562,0.657,4.635
Galnt7,1.944,1.148,1.058,0.998,0.0,0.0,1.3119999999999998,0.0,0.0,0.0,4.162
Galnt9,1.3980000000000001,1.383,0.77,0.892,0.0,0.0,1.6909999999999998,0.0,0.584,0.375,3.1260000000000003
Galntl5,1.125,0.0,0.0,0.0,0.469,0.0,0.8440000000000001,3.0,0.0,0.469,3.949
Galntl6,0.375,0.0,0.0,1.3119999999999998,0.375,1.023,0.0,0.0,1.875,0.0,0.455
Galp,4.401,1.176,0.5589999999999999,1.665,0.961,0.0,0.7879999999999999,0.0,1.1640000000000001,0.633,0.794
Galr1,1.1640000000000001,5.0,0.0,1.5119999999999998,0.735,0.0,0.0,0.0,0.0,0.0,0.0
Galr2,1.182,5.0,0.636,1.392,0.7290000000000001,0.0,0.0,0.0,0.652,0.0,0.0
Galt,1.215,0.935,0.0,2.036,1.227,0.0,1.032,0.0,2.8819999999999997,0.0,4.225
Gamt,1.683,1.212,1.058,3.877,1.869,0.718,0.73,0.0,4.532,0.564,0.0
Gan,1.2930000000000001,1.834,3.755,1.9609999999999999,1.663,0.467,1.354,0.8809999999999999,2.193,1.171,0.826
Ganab,1.16,2.397,1.16,1.0190000000000001,1.143,0.0,5.0,0.0,0.93,2.471,3.536
Ganc,0.0,0.0,0.0,1.828,0.594,0.0,0.743,0.0,1.8659999999999999,1.006,0.0
Gap43,2.12,5.0,2.5780000000000003,3.0810000000000004,1.876,0.57,1.484,1.166,2.927,1.2429999999999999,1.22
Gapdh,3.5060000000000002,5.0,4.736000000000001,4.792,4.742,2.3280000000000003,2.9739999999999998,2.654,5.0,2.855,2.441
Gapdhs,0.9690000000000001,0.951,1.166,1.537,3.22,0.0,0.556,0.0,3.927,0.0,0.738
Gapt,3.263,3.8569999999999998,0.0,0.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gapvd1,0.7659999999999999,4.604,1.012,0.597,0.51,0.0,0.6459999999999999,3.7060000000000004,5.0,1.138,1.206
Gar1,1.031,0.0,0.0,4.479,0.375,0.0,0.0,0.0,1.6340000000000001,0.0,0.0
Garem,0.0,0.0,0.0,0.716,0.0,0.0,0.0,0.0,1.178,0.0,0.0
Gareml,0.0,0.327,0.0,0.7959999999999999,0.0,0.0,0.0,0.0,0.36200000000000004,0.0,0.0
Garnl3,0.0,0.0,0.0,2.295,0.0,0.0,0.0,0.0,2.8289999999999997,0.0,0.0
Gars,5.0,1.109,1.421,1.505,4.726,0.0,1.296,0.599,4.507,0.8079999999999999,0.631
Gart,2.4330000000000003,2.6010000000000004,2.65,2.615,2.116,1.368,2.129,2.305,4.189,1.931,2.125
Gas1,1.7819999999999998,5.0,1.633,2.563,1.7519999999999998,0.856,1.454,1.006,1.56,1.113,1.123
Gas2,1.463,1.506,3.7289999999999996,1.6869999999999998,1.4280000000000002,0.7340000000000001,1.176,0.635,3.435,0.804,0.73
Gas2l1,1.186,0.7070000000000001,3.4930000000000003,1.5,0.516,0.0,0.0,0.0,2.6430000000000002,0.0,0.0
Gas2l2,0.509,3.0,2.513,2.625,0.0,0.0,0.0,0.0,2.5780000000000003,0.0,0.0
Gas2l3,0.0,0.0,4.215,2.431,0.0,0.0,0.0,0.0,2.752,0.0,0.0
